participantId,sessionStart,sessionEnd,timestamp,type,targetTag,targetId,targetClass,x,y,key
User_1781609383502_536,1781609383502,1781609426384,1781609398954,click,OPTION,,,0,0,
User_1781609383502_536,1781609383502,1781609426384,1781609402386,click,I,,fas fa-balance-scale action-icon,908,674,
User_1781609383502_536,1781609383502,1781609426384,1781609404259,click,I,,fas fa-plus,1804,212,
User_1781609383502_536,1781609383502,1781609426384,1781609405694,click,SELECT,select-cargo,form-control,0,0,
User_1781609383502_536,1781609383502,1781609426384,1781609407106,click,OPTION,,,0,0,
User_1781609383502_536,1781609383502,1781609426384,1781609408014,click,SELECT,select-uf,form-control,0,0,
User_1781609383502_536,1781609383502,1781609426384,1781609409668,click,DIV,,form-row,1128,424,
User_1781609383502_536,1781609383502,1781609426384,1781609410077,click,SELECT,select-municipio,form-control,0,0,
User_1781609383502_536,1781609383502,1781609426384,1781609411492,click,DIV,,modal-body,799,509,
User_1781609383502_536,1781609383502,1781609426384,1781609411895,click,SELECT,select-partido,form-control,0,0,
User_1781609383502_536,1781609383502,1781609426384,1781609412982,click,OPTION,,,0,0,
User_1781609383502_536,1781609383502,1781609426384,1781609413507,click,BUTTON,btn-pesquisar,btn-search,697,559,
User_1781609383502_536,1781609383502,1781609426384,1781609415175,click,BUTTON,btn-add-more,btn-tool green,1798,189,
User_1781609383502_536,1781609383502,1781609426384,1781609417026,click,SELECT,select-partido,form-control,0,0,
User_1781609383502_536,1781609383502,1781609426384,1781609418464,click,OPTION,,,0,0,
User_1781609383502_536,1781609383502,1781609426384,1781609420635,click,BUTTON,btn-pesquisar,btn-search,727,565,
User_1781609383502_536,1781609383502,1781609426384,1781609423835,click,BUTTON,btn-clear,btn-tool red,1759,214,
User_1781609383502_536,1781609383502,1781609426384,1781609426382,click,A,,,84,153,
