participantId,sessionStart,sessionEnd,timestamp,type,targetTag,targetId,targetClass,x,y,key
User_1781533036831_176,1781533036831,1781533175293,1781533043331,click,DIV,page-home,,353,401,
User_1781533036831_176,1781533036831,1781533175293,1781533078360,click,DIV,page-home,,1493,476,
User_1781533036831_176,1781533036831,1781533175293,1781533079577,click,LI,card-trocar-local,active-link,1075,357,
User_1781533036831_176,1781533036831,1781533175293,1781533081578,click,DIV,opcao-local,tipo-opcao selected,968,581,
User_1781533036831_176,1781533036831,1781533175293,1781533082690,click,BUTTON,btn-continuar-tipo,btn-continuar-tipo,1071,677,
User_1781533036831_176,1781533036831,1781533175293,1781533084266,click,INPUT,input-identificacao,form-control,901,277,
User_1781533036831_176,1781533036831,1781533175293,1781533084446,click,INPUT,input-identificacao,form-control,901,277,
User_1781533036831_176,1781533036831,1781533175293,1781533088715,click,BUTTON,btn-ajuda-flutuante,,1966,993,
User_1781533036831_176,1781533036831,1781533175293,1781533091579,click,TD,,,945,529,
User_1781533036831_176,1781533036831,1781533175293,1781533094649,click,BUTTON,btn-fechar-ajuda,btn-accent,1217,961,
User_1781533036831_176,1781533036831,1781533175293,1781533095844,click,INPUT,input-identificacao,form-control,850,306,
User_1781533036831_176,1781533036831,1781533175293,1781533096072,keydown,INPUT,input-identificacao,form-control,,,Control
User_1781533036831_176,1781533036831,1781533175293,1781533096413,keydown,INPUT,input-identificacao,form-control,,,v
User_1781533036831_176,1781533036831,1781533175293,1781533097478,click,INPUT,input-nascimento,form-control,1087,297,
User_1781533036831_176,1781533036831,1781533175293,1781533098877,keydown,INPUT,input-nascimento,form-control,,,1
User_1781533036831_176,1781533036831,1781533175293,1781533100809,keydown,INPUT,input-nascimento,form-control,,,0
User_1781533036831_176,1781533036831,1781533175293,1781533101211,keydown,INPUT,input-nascimento,form-control,,,0
User_1781533036831_176,1781533036831,1781533175293,1781533101492,keydown,INPUT,input-nascimento,form-control,,,3
User_1781533036831_176,1781533036831,1781533175293,1781533102004,keydown,INPUT,input-nascimento,form-control,,,2
User_1781533036831_176,1781533036831,1781533175293,1781533102308,keydown,INPUT,input-nascimento,form-control,,,0
User_1781533036831_176,1781533036831,1781533175293,1781533102468,keydown,INPUT,input-nascimento,form-control,,,0
User_1781533036831_176,1781533036831,1781533175293,1781533103163,keydown,INPUT,input-nascimento,form-control,,,4
User_1781533036831_176,1781533036831,1781533175293,1781533104672,click,INPUT,input-mae,form-control,927,446,
User_1781533036831_176,1781533036831,1781533175293,1781533105333,keydown,INPUT,input-mae,form-control,,,m
User_1781533036831_176,1781533036831,1781533175293,1781533105494,keydown,INPUT,input-mae,form-control,,,a
User_1781533036831_176,1781533036831,1781533175293,1781533105760,keydown,INPUT,input-mae,form-control,,,r
User_1781533036831_176,1781533036831,1781533175293,1781533105972,keydown,INPUT,input-mae,form-control,,,i
User_1781533036831_176,1781533036831,1781533175293,1781533106062,keydown,INPUT,input-mae,form-control,,,a
User_1781533036831_176,1781533036831,1781533175293,1781533106606,keydown,INPUT,input-mae,form-control,,, 
User_1781533036831_176,1781533036831,1781533175293,1781533106918,keydown,INPUT,input-mae,form-control,,,s
User_1781533036831_176,1781533036831,1781533175293,1781533107053,keydown,INPUT,input-mae,form-control,,,i
User_1781533036831_176,1781533036831,1781533175293,1781533107261,keydown,INPUT,input-mae,form-control,,,l
User_1781533036831_176,1781533036831,1781533175293,1781533107582,keydown,INPUT,input-mae,form-control,,,v
User_1781533036831_176,1781533036831,1781533175293,1781533107665,keydown,INPUT,input-mae,form-control,,,a
User_1781533036831_176,1781533036831,1781533175293,1781533109188,click,INPUT,input-pai,form-control,1095,424,
User_1781533036831_176,1781533036831,1781533175293,1781533109749,keydown,INPUT,input-pai,form-control,,,m
User_1781533036831_176,1781533036831,1781533175293,1781533109879,keydown,INPUT,input-pai,form-control,,,a
User_1781533036831_176,1781533036831,1781533175293,1781533110310,keydown,INPUT,input-pai,form-control,,,r
User_1781533036831_176,1781533036831,1781533175293,1781533110501,keydown,INPUT,input-pai,form-control,,,i
User_1781533036831_176,1781533036831,1781533175293,1781533110595,keydown,INPUT,input-pai,form-control,,,o
User_1781533036831_176,1781533036831,1781533175293,1781533111311,keydown,INPUT,input-pai,form-control,,, 
User_1781533036831_176,1781533036831,1781533175293,1781533111952,keydown,INPUT,input-pai,form-control,,,s
User_1781533036831_176,1781533036831,1781533175293,1781533112196,keydown,INPUT,input-pai,form-control,,,i
User_1781533036831_176,1781533036831,1781533175293,1781533112424,keydown,INPUT,input-pai,form-control,,,l
User_1781533036831_176,1781533036831,1781533175293,1781533112766,keydown,INPUT,input-pai,form-control,,,v
User_1781533036831_176,1781533036831,1781533175293,1781533112828,keydown,INPUT,input-pai,form-control,,,a
User_1781533036831_176,1781533036831,1781533175293,1781533114197,click,BUTTON,btn-entrar-auth,btn-accent,1294,518,
